City,Lat,Lng,Max Temp (F),Cloudiness,Humidity,Wind Speed,Country,Date
Los Llanos de Aridane,28.6585,-17.9182,64.4,0,63,5.75,ES,1619578636
Provideniya,64.3833,-173.3,32.0,90,80,6.71,RU,1619578637
Avarua,-21.2078,-159.775,82.4,87,74,6.91,CK,1619578637
Rikitea,-23.1203,-134.9692,76.96,100,74,11.99,PF,1619578382
Bambous Virieux,-20.3428,57.7575,77.0,75,88,11.5,MU,1619578638
Hambantota,6.1241,81.1185,82.4,20,94,3.44,LK,1619578638
Chaman,30.9236,66.4512,78.24,100,18,3.96,PK,1619578638
Cosalá,24.4125,-106.6908,72.0,73,89,2.51,MX,1619578638
Bredasdorp,-34.5322,20.0403,48.2,90,93,3.44,ZA,1619578639
Jambi City,-1.6,103.6167,87.26,99,64,1.41,ID,1619578639
Oxbow,49.2333,-102.1676,50.0,5,45,4.18,CA,1619578640
Afşin,38.2477,36.914,52.11,94,51,1.92,TR,1619578640
Barrow,71.2906,-156.7887,19.4,90,86,4.61,US,1619578640
Hermanus,-34.4187,19.2345,55.99,38,91,4.81,ZA,1619578641
Mataura,-46.1927,168.8643,55.99,100,85,13.0,NZ,1619578641
Assomada,15.1,-23.6833,69.8,20,78,14.97,CV,1619578641
Touros,-5.1989,-35.4608,77.0,40,88,3.44,BR,1619578642
Beringovskiy,63.05,179.3167,33.49,99,96,7.05,RU,1619578642
Vaini,-21.2,-175.2,77.0,75,78,13.8,TO,1619578428
Albany,42.6001,-73.9662,55.0,82,45,1.25,US,1619578642
Cape Town,-33.9258,18.4232,57.99,26,93,2.3,ZA,1619578410
Airai,-8.9266,125.4092,75.4,8,33,1.7,TL,1619578643
Westport,41.1415,-73.3579,53.6,1,58,4.41,US,1619578588
Songea,-10.6833,35.65,61.68,64,98,1.57,TZ,1619578643
Lebu,-37.6167,-73.65,54.63,49,94,2.59,CL,1619578644
Merauke,-8.4667,140.3333,84.02,46,71,8.21,ID,1619578644
Labytnangi,66.6572,66.4183,31.15,91,92,4.9,RU,1619578644
Mwinilunga,-11.7358,24.4293,58.73,40,94,2.51,ZM,1619578645
Upernavik,72.7868,-56.1549,25.02,99,90,7.67,GL,1619578645
Butaritari,3.0707,172.7902,82.24,93,76,7.96,KI,1619578646
